,PLACEKEY,PARENT_PLACEKEY,LOCATION_NAME,SAFEGRAPH_BRAND_IDS,BRANDS,STORE_ID,TOP_CATEGORY,SUB_CATEGORY,NAICS_CODE,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,ISO_COUNTRY_CODE,PHONE_NUMBER,OPEN_HOURS,CATEGORY_TAGS,OPENED_ON,CLOSED_ON,TRACKING_CLOSED_SINCE,GEOMETRY_TYPE,DOMAINS,WEBSITE
0,22g-222@627-s8j-3kf,,The Belfry,,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,40.732627,-73.986392,222 E 14th St,New York,NY,10003.0,US,12124736590.0,"{ ""Mon"": [[""17:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""17:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""17:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""17:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""15:00"", ""24:00""]], ""Sat"": [[""0:00"", ""4:00""], [""15:00"", ""24:00""]], ""Sun"": [[""0:00"", ""4:00""]] }","Bar or Pub,Cocktail Lounge,Late Night",,,2019-07,POLYGON,"[""belfrynyc.com""]",http://www.belfrynyc.com
3,22n-222@627-wc6-z4v,,Foot Locker,SG_BRAND_3bbe7681bc7a60ed3d22764734cb699a,Foot Locker,2252865.0,Shoe Stores,Shoe Stores,448210,40.720048,-74.000968,440 Broadway,New York,NY,10013.0,US,12123437461.0,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""11:00"", ""19:00""]] }","Accessories,Children's Clothing,Hats,Men's Clothing,Women's Clothing",,,2019-07,POLYGON,"[""footlocker.com""]",https://stores.footlocker.com/ny/newyork/440-broadway-8879.html
4,22t-222@627-s8r-389,226-222@627-s8r-389,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,17631.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.756171,-73.970789,824 3rd Ave # 50,New York,NY,10022.0,US,16469186867.0,"{ ""Mon"": [[""6:00"", ""23:00""]], ""Tue"": [[""6:00"", ""23:00""]], ""Wed"": [[""6:00"", ""23:00""]], ""Thu"": [[""6:00"", ""23:00""]], ""Fri"": [[""6:00"", ""23:00""]], ""Sat"": [[""6:00"", ""23:00""]], ""Sun"": [[""6:00"", ""23:00""]] }","Breakfast,Burgers,Counter Service,Dinner,Fast Food,Lunch",,,2019-07,POLYGON,"[""mcdonalds.com""]",https://www.mcdonalds.com/us/en-us/location/17631.html
7,233-222@627-s4n-tvz,,LUSH,SG_BRAND_73f7c3d6ad6e4a0c7697a7e6fcd3a8d6,LUSH,752.0,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,40.778438,-73.953659,206A E 86th St,New York,NY,10028.0,US,12122495194.0,"{ ""Mon"": [[""11:00"", ""20:00""]], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""11:00"", ""20:00""]], ""Sat"": [[""11:00"", ""20:00""]], ""Sun"": [[""11:00"", ""18:00""]] }","Accessories,Cosmetics,Perfume,Skin Care,Spa",,2023-11,2019-07,POLYGON,"[""lushusa.com""]",
12,zzw-22b@627-s8r-8sq,,T.J. Maxx,SG_BRAND_6ac3d7996fd37353f8027aee42005f19,T.J. Maxx,1163.0,Department Stores,Department Stores,452210,40.766523,-73.982798,250 W 57th St Fl 8,New York,NY,10107.0,US,12122456201.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""10:00"", ""20:00""]] }","Children's Clothing,Home Decor,Men's Clothing",,,2019-07,POLYGON,"[""tjx.com"",""tjmaxx.com""]",
13,zzw-22f@627-wbv-k9f,224-223@627-wbv-grk,LIDS,SG_BRAND_6679f28598318625b9e60f581a6df901,LIDS,5594.0,Clothing Stores,Clothing Accessories Stores,448150,40.756948,-73.988616,239 W 42nd St,New York,NY,10036.0,US,12125751711.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""10:00"", ""20:00""]] }","Accessories,Children's Clothing,Men's Clothing,Sportswear,Women's Clothing",,,2019-07,POLYGON,"[""lids.com""]",https://www.lids.com/store/lids-42nd-street-entertainment-center/sd-27947637+z-9850834-3364633173
16,224-222@627-s8k-qfz,,Horus Cafe,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.724524,-73.981435,93 Avenue B,New York,NY,10009.0,US,12127779199.0,"{ ""Mon"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Tue"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Wed"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Thu"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Fri"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Sat"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Sun"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]] }","Bar or Pub,Cocktail Lounge,Hookah,Late Night,Middle Eastern Food",,,2019-07,POLYGON,"[""horuscafe.com""]",https://www.horuscafe.com
19,22b-222@627-s8h-v4v,,The Globe,,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,40.738852,-73.983787,158 E 23rd St,New York,NY,10010.0,US,12124776161.0,"{ ""Mon"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Fri"": [[""0:00"", ""3:00""], [""12:00"", ""24:00""]], ""Sat"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Sun"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]] }","Bar or Pub,Cocktail Lounge,Late Night",,,2019-07,POLYGON,"[""theglobeny.com""]",http://www.theglobeny.com
20,22d-222@627-s8r-m6k,,Isle of Capri,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.76285,-73.96602,1028 3rd Ave,New York,NY,10065.0,US,12127581902.0,"{ ""Mon"": [[""11:30"", ""22:00""]], ""Tue"": [[""11:30"", ""22:00""]], ""Wed"": [[""11:30"", ""22:00""]], ""Thu"": [[""11:30"", ""22:00""]], ""Fri"": [[""11:30"", ""22:00""]], ""Sat"": [[""11:30"", ""22:00""]], ""Sun"": [] }",Italian Food,,,2019-07,POLYGON,"[""isleofcapriny.com""]",http://www.isleofcapriny.com/
24,22j-222@627-wc7-t5f,,Happy Bowls NYC,,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.730781,-73.990212,61 4th Ave,New York,NY,10003.0,US,19172616081.0,"{ ""Mon"": [[""8:00"", ""15:00""]], ""Tue"": [[""8:00"", ""15:00""]], ""Wed"": [[""8:00"", ""15:00""]], ""Thu"": [[""8:00"", ""15:00""]], ""Fri"": [[""8:00"", ""15:00""]], ""Sat"": [[""10:00"", ""15:00""]], ""Sun"": [[""10:00"", ""15:00""]] }","Hawaiian Food,Smoothie & Juice Bar",,,2019-07,POLYGON,"[""happybowls.co""]",
